,dateRep,day,month,year,cases,deaths,country,continent
8597,2020-01-01,1,1,2020,1.0,0.0,Finland,Europe
27746,2020-01-01,1,1,2020,1.0,0.0,Spain,Europe
18188,2020-01-02,1,2,2020,0.0,0.0,Lithuania,Europe
8566,2020-01-02,1,2,2020,0.0,0.0,Finland,Europe
5664,2020-01-02,1,2,2020,0.0,0.0,Czechia,Europe
27715,2020-01-02,1,2,2020,16.0,0.0,Spain,Europe
9594,2020-01-02,1,2,2020,0.0,0.0,France,Europe
10590,2020-01-02,1,2,2020,1.0,0.0,Germany,Europe
23968,2020-01-03,1,3,2020,0.0,0.0,Portugal,Europe
17191,2020-01-03,1,3,2020,0.0,0.0,Liechtenstein,Europe
966,2020-01-03,1,3,2020,4.0,0.0,Austria,Europe
6597,2020-01-03,1,3,2020,1.0,0.0,Denmark,Europe
21090,2020-01-03,1,3,2020,3.0,0.0,Netherlands,Europe
22060,2020-01-03,1,3,2020,10.0,,Norway,Europe
9565,2020-01-03,1,3,2020,45.0,0.0,France,Europe
10571,2020-01-03,1,3,2020,35.0,0.0,Germany,Europe
18159,2020-01-03,1,3,2020,0.0,0.0,Lithuania,Europe
28702,2020-01-03,1,3,2020,0.0,0.0,Sweden,Europe
7569,2020-01-03,1,3,2020,0.0,0.0,Estonia,Europe
13336,2020-01-03,1,3,2020,0.0,,Iceland,Europe
8537,2020-01-03,1,3,2020,1.0,0.0,Finland,Europe
15267,2020-01-03,1,3,2020,566.0,5.0,Italy,Europe
3868,2020-01-03,1,3,2020,2.0,0.0,Croatia,Europe
16242,2020-01-03,1,3,2020,0.0,0.0,Latvia,Europe
11562,2020-01-03,1,3,2020,2.0,0.0,Greece,Europe
27686,2020-01-03,1,3,2020,685.0,0.0,Spain,Europe
5635,2020-01-03,1,3,2020,3.0,0.0,Czechia,Europe
19155,2020-01-03,1,3,2020,0.0,0.0,Luxembourg,Europe
1938,2020-01-03,1,3,2020,19.0,,Belgium,Europe
14268,2020-01-04,1,4,2020,212.0,14.0,Ireland,Europe
19124,2020-01-04,1,4,2020,119.0,1.0,Luxembourg,Europe
5604,2020-01-04,1,4,2020,283.0,8.0,Czechia,Europe
3837,2020-01-04,1,4,2020,96.0,0.0,Croatia,Europe
935,2020-01-04,1,4,2020,546.0,11.0,Austria,Europe
2875,2020-01-04,1,4,2020,37.0,2.0,Bulgaria,Europe
4643,2020-01-04,1,4,2020,58.0,1.0,Cyprus,Europe
25824,2020-01-04,1,4,2020,26.0,0.0,Slovakia,Europe
10540,2020-01-04,1,4,2020,6257.0,376.0,Germany,Europe
15236,2020-01-04,1,4,2020,4782.0,727.0,Italy,Europe
21059,2020-01-04,1,4,2020,1008.0,134.0,Netherlands,Europe
6566,2020-01-04,1,4,2020,282.0,22.0,Denmark,Europe
22029,2020-01-04,1,4,2020,198.0,2.0,Norway,Europe
1907,2020-01-04,1,4,2020,1516.0,241.0,Belgium,Europe
11531,2020-01-04,1,4,2020,101.0,0.0,Greece,Europe
